,Case Number,Date Report Signed,Link Text,URLs
109,22-OVI-257,27-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2284
110,22-TVI-256,26-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2283
119,22-TCI-234,10-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2261
121,22-OCI-232,10-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2260
125,22-OCI-226,29-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2247
131,22-OCD-218,17-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2270
137,22-PVD-208,12-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2224
147,22-OVI-193,30-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2203
148,22-PCI-191,25-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2202
150,22-TCI-189,25-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2198
154,22-OCI-182,10-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2187
155,22-OVI-181,10-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2189
161,22-TCI-169,28-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2173
162,22-TCI-167,28-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2171
163,22-OFD-164,25-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2167
168,22-OCI-159,21-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2161
169,22-OCI-157,20-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2159
181,22-TFD-136,23-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2133
183,22-OCI-131,15-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2124
185,22-TCI-129,12-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2122
192,22-TCI-119,25-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2097
194,22-OCI-117,18-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2088
198,22-PCI-113,15-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2082
202,22-OCI-106,05-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2070
208,22-OCI-095,28-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2059
209,22-OCI-094,28-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2058
227,22-OCI-058,24-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2018
231,22-PFP-053,20-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2010
233,22-OCI-048,15-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2004
234,22-OCI-044,14-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1999
236,22-TCI-041,10-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1994
244,22-TCI-028,31-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1978
248,22-TCI-023,29-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2108
256,22-TCI-011,17-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1949
262,22-OCI-002,05-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1939
271,21-OCI-421,05-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2033
273,21-OCI-418,13-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1915
275,21-TOD-415,24-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2096
276,21-OCI-414,30-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1904
277,21-TVI-413,08-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1914
279,21-OCI-410,29-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1900
288,21-OCI-398,21-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1883
289,21-OVI-397,08-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1880
290,21-OCI-395,07-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1876
291,21-OFP-393,09-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1875
295,21-PCI-385,07-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1864
296,21-TCI-383,07-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1863
298,21-OCI-380,02-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1857
299,21-OVD-379,07-Mar-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1861
307,21-OVI-361,23-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1845
309,21-OVI-358,18-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1842
315,21-TCD-344,10-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1829
333,21-OVI-317,20-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1777
336,21-OCI-313,17-Jan-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1771
346,21-TCI-291,29-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1747
350,21-OCI-285,24-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1740
352,21-OCI-280,20-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1731
358,21-TCI-268,22-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1662
367,21-PCI-247,03-Dec-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1705
370,21-PFD-244,23-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2095
375,21-OCI-238,25-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1678
386,21-TCI-214,07-Feb-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1820
391,21-PCI-206,28-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1624
399,21-OCI-189,18-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1605
407,21-OSA-176,04-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1589
408,21-TCI-172,01-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1587
419,21-OCI-153,08-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1541
431,21-OCI-129,19-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1516
451,21-OCI-099,28-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1471
458,21-OSA-088,13-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1446
461,21-OCI-085,15-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1450
463,21-OCI-082,13-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1442
464,21-OCI-080,12-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1435
465,21-TCI-079,09-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1432
476,21-OCI-057,17-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1395
477,21-OCD-056,10-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1354
480,21-OOD-052,03-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2072
482,21-TCI-048,11-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1388
489,21-TFI-037,03-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1377
495,21-OCD-027,25-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1965
501,21-OCI-020,12-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1345
502,21-TFI-019,13-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1346
504,21-TCI-015,03-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1336
508,21-OCI-011,04-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1324
510,21-OSA-009,15-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1233
521,20-OCI-354,01-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1244
528,20-TCI-344,30-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1223
529,20-OSA-342,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1211
531,20-OCI-338,30-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1197
532,20-TFI-336,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1195
534,20-OCI-334,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1182
535,20-PCI-329,06-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1269
536,20-OVI-328,30-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1531
537,20-PCD-326,30-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1530
538,20-OCI-323,03-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1329
539,20-OFI-322,08-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1544
540,20-OCD-320,12-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1445
541,20-OOD-318,12-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1444
542,20-OCI-317,25-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1375
543,20-OCI-316,12-Jul-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1441
544,20-PVI-315,25-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1373
545,20-PFD-314,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1178
546,20-PCI-312,16-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1511
547,20-PCI-311,23-Nov-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1660
548,20-PVI-310,16-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1128
549,20-OCI-309,26-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1338
550,20-TCI-306,28-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1418
551,20-TCD-305,29-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1246
552,20-PVI-304,21-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1414
553,20-PCI-303,08-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1148
554,20-TCI-302,19-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1295
555,20-OCI-301,19-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1299
556,20-OCD-300,14-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1289
557,20-OCI-299,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1215
558,20-OCI-297,28-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1427
559,20-OCI-296,16-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1134
560,20-PCI-294,30-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1256
561,20-TCD-293,17-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1364
562,20-TVI-292,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1055
563,20-PCI-290,26-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1332
564,20-OFI-289,21-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1416
565,20-OCI-288,08-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1273
566,20-OCI-287,06-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1267
567,20-PCD-285,08-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1101
568,20-TCD-284,26-Oct-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1632
569,20-PVI-283,01-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1077
570,20-TVI-282,03-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1349
571,20-TCI-281,12-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1293
572,20-PCI-278,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1112
573,20-TCI-277,27-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1313
574,20-OCI-276,07-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1208
575,20-PCD-273,16-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1510
576,20-OCI-272,19-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1309
577,20-PVI-270,11-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1029
578,20-OCD-268,16-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1509
579,20-OVI-267,15-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1187
580,20-PCI-266,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1193
581,20-TCI-265,06-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1286
582,20-OVI-264,19-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1320
583,20-OVI-263,08-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1169
584,20-OVI-262,19-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1315
585,20-OCI-261,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1205
586,20-OVI-260,10-May-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1361
587,20-OCI-257,08-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1174
588,20-OCD-256,30-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1529
589,20-PCI-255,06-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1260
590,20-TVI-253,13-Sep-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1550
591,20-OCI-252,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1219
592,20-PVI-250,15-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1191
593,20-OCI-249,01-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1087
594,20-TCI-248,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1212
595,20-OCI-247,11-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1035
596,20-OVI-244,15-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1189
597,20-PVD-243,14-Dec-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1017
598,20-OCI-242,08-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1162
599,20-PCI-240,06-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1041
600,20-OVI-239,21-Dec-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1019
601,20-OCI-237,04-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1033
602,20-OCI-236,06-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1023
603,20-OCI-235,06-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1275
604,20-PCD-230,21-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1413
605,20-OVI-227,25-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1150
606,20-TCI-226,22-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1282
607,20-PFD-225,23-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1522
608,20-PCI-219,19-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1297
609,20-PCD-217,15-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1176
610,20-OCD-216,22-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1228
611,20-TCI-215,08-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1160
612,20-OVD-214,20-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1340
613,20-OCI-209,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1063
614,20-PCD-208,16-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1109
615,20-TCD-207,01-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1156
616,20-TVI-206,16-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1136
617,20-OVI-204,20-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1053
618,20-OFI-202,14-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1391
619,20-OCI-201,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1073
620,20-TCI-200,16-Aug-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1507
621,20-TVI-199,01-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1083
622,20-PCI-198,11-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1027
623,20-OCI-197,23-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1012
624,20-PCI-195,01-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1154
625,20-PCI-194,08-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1158
626,20-OVI-191,09-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=933
627,20-OCI-188,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1075
628,20-PCI-186,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1069
629,20-TCI-184,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1089
630,20-OCD-183,16-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1132
631,20-TVI-182,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1059
632,20-OVD-181,01-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1081
633,20-PCI-180,08-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=931
634,20-OCI-178,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1071
635,20-OCI-177,16-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1124
636,20-OCI-176,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1057
637,20-TVI-174,19-Oct-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=972
638,20-PFD-173,14-Jun-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1392
639,20-OCI-170,28-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=958
640,20-OCI-167,11-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1043
641,20-OFD-166,08-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1166
642,20-OCI-163,16-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1105
643,20-OVI-161,16-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1122
644,20-OCI-160,06-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1037
645,20-OFI-158,16-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1138
646,20-OCI-157,16-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1002
647,20-PVI-156,21-Dec-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1021
648,20-PVI-155,26-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1311
649,20-PCI-147,08-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1085
650,20-OVI-146,25-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1091
651,20-OCI-145,13-Oct-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=970
652,20-OFD-144,15-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1201
653,20-OCI-143,28-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=956
654,20-OVD-142,13-Oct-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=964
655,20-PCI-139,16-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1126
656,20-TVI-138,30-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1051
657,20-OVI-137,11-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1031
658,20-OCI-136,14-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=939
659,20-OCI-135,28-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=954
660,20-PCI-134,13-Oct-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=962
661,20-OCD-133,01-Mar-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1142
662,20-OCI-129,19-Apr-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1305
663,20-PCI-128,18-Jan-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1047
664,20-TVI-127,14-Sep-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=943
665,20-TCI-126,09-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=992
666,20-TCD-124,21-Aug-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=908
667,20-PCI-123,08-Feb-21,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1099
668,20-OCI-122,09-Nov-20,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1015
