Case Number,Date Report Signed,Link Text,URLs
23-OFI-056,26-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2453
23-OCI-055,23-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2451
23-OVI-051,19-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2442
23-OVI-050,19-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2441
23-TCI-048,16-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2440
23-PCI-047,16-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2439
23-OCI-046,14-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2435
23-TCI-045,14-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2437
23-TFP-044,14-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2436
23-OCI-042,12-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2433
23-PCI-041,09-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2431
23-TCI-038,08-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2429
23-OCI-037,03-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2426
23-OCD-036,02-Jun-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2425
23-OCI-033,29-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2421
23-OSA-032,29-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2449
23-OFP-031,30-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2422
23-OVI-030,26-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2419
23-PCI-029,25-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2418
23-OCI-025,18-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2409
23-PCI-024,19-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2413
23-TCI-023,18-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2412
23-PCD-022,18-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2410
23-OCI-020,17-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2406
23-TCI-018,16-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2404
23-OFP-016,10-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2399
23-OCI-015,05-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2394
23-OCI-014,05-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2391
23-OCI-011,11-Jul-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2495
23-OCI-010,05-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2389
23-OCI-007,03-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2385
23-OCI-006,05-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2390
23-OVI-005,03-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2384
23-OCI-004,03-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2387
23-OVI-002,01-May-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2380
23-OCI-001,28-Apr-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2379
22-OVI-330,28-Apr-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2378
22-OCI-329,28-Apr-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2377
22-TCI-328,26-Apr-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2372
22-OVI-327,26-Apr-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2371
22-TCD-326,24-Apr-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2370
22-OCI-324,21-Apr-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2369
22-OCI-323,14-Apr-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2364
22-OFD-319,17-Apr-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2360
22-OCI-318,14-Apr-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2359
22-TCI-316,12-Apr-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2358
22-PCI-315,31-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2353
22-PVI-313,06-Apr-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2357
22-OCI-308,31-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2347
22-OFP-307,31-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2348
22-PCD-306,27-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2344
22-PVI-305,09-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2336
22-OVI-304,28-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2345
22-TCI-303,28-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2346
22-OCI-302,24-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2341
22-OFD-301,24-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2342
22-OCI-300,22-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2339
22-TVI-299,07-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2331
22-PVI-297,10-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2332
22-OVI-294,10-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2333
22-PCI-292,03-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2326
22-OCI-291,12-Jul-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2502
22-OFI-290,02-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2325
22-OCI-288,01-Mar-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2324
22-OCI-283,24-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2314
22-TCI-282,24-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2316
22-OCI-280,24-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2320
22-OCI-279,23-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2313
22-TCI-277,22-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2310
22-OCI-276,21-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2309
22-OVI-275,21-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2308
22-TFP-272,17-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2303
22-TVI-271,10-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2298
22-TCD-270,10-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2301
22-OCD-267,08-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2296
22-OCI-265,03-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2292
22-OFD-264,12-Jul-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2499
22-PCI-262,31-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2288
22-OSA-260,30-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2293
22-OVI-259,07-Feb-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2297
22-TFP-258,27-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2285
22-OVI-257,27-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2284
22-TVI-256,26-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2283
22-OOD-252,24-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2279
22-OCI-250,19-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2274
22-OVD-249,23-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2278
22-TFI-246,19-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2273
22-TCI-245,18-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2272
22-TCI-244,13-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2268
22-OOD-243,13-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2269
22-OOD-236,11-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2262
22-TCI-234,10-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2261
22-OFD-233,17-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2230
22-OCI-232,10-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2260
22-OFP-230,06-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2257
22-OFD-229,30-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2249
22-PVI-227,30-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2251
22-OCI-226,29-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2247
22-TCI-223,30-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2250
22-OCI-222,29-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2246
22-OCI-221,28-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2242
22-OFP-220,23-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2239
22-TCI-219,22-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2237
22-OCD-218,17-Jan-23,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2270
22-OCI-216,22-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2236
22-PCI-215,22-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2235
22-OVI-214,21-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2234
22-OCI-212,16-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2229
22-OCI-210,16-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2228
22-PVD-208,12-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2224
22-OFD-207,13-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2223
22-TFD-205,09-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2221
22-PCI-204,10-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2220
22-OFP-203,09-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2219
22-OFP-201,08-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2215
22-OCI-200,06-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2213
22-TCI-199,05-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2211
22-POD-197,02-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2207
22-TCI-196,25-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2205
22-OVI-193,30-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2203
22-PCI-191,25-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2202
22-OCI-190,22-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2196
22-TCI-189,25-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2198
22-OCI-188,18-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2193
22-PCD-187,18-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2194
22-TFI-185,17-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2192
22-OCI-182,10-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2187
22-OVI-181,10-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2189
22-OCI-179,08-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2185
22-TCD-176,07-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2184
22-OCI-174,03-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2180
22-PFP-173,02-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2179
22-OFP-172,01-Nov-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2178
22-TCI-169,28-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2173
22-TCI-167,28-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2171
22-OFD-164,25-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2167
22-OCI-163,25-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2166
22-PVI-162,24-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2164
22-PCI-161,24-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2163
22-PVI-160,21-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2160
22-OCI-159,21-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2161
22-OCI-157,20-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2159
22-PCI-155,14-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2156
22-OCI-153,13-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2155
22-PFP-151,07-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2150
22-TCI-150,06-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2149
22-PVI-149,04-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2147
22-OCI-148,03-Oct-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2146
22-OCI-144,28-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2143
22-PCI-143,29-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2142
22-PCI-140,26-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2137
22-OCI-139,26-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2136
22-PFP-138,23-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2134
22-TFD-136,23-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2133
22-PVI-132,16-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2125
22-OCI-131,15-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2124
22-POD-130,16-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2126
22-TCI-129,12-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2122
22-OCI-125,02-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2111
22-PCD-124,02-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2110
22-OCI-123,30-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2104
22-OCI-122,26-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2099
22-OFP-121,10-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2091
22-OVI-120,26-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2098
22-TCI-119,25-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2097
22-OFI-118,19-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2090
22-OCI-117,18-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2088
22-OVI-116,18-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2087
22-OCI-115,17-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2085
22-PVD-114,17-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2084
22-PCI-113,15-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2082
22-TCD-112,12-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2080
22-TVI-109,10-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2078
22-OFP-108,10-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2077
22-OCI-106,05-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2070
22-PFP-105,05-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2069
22-TFP-100,29-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2063
22-OCI-098,29-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2062
22-OVI-097,29-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2061
22-OFP-096,29-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2064
22-OCI-095,28-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2059
22-OCI-094,28-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2058
22-OCI-089,22-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2055
22-OVI-087,21-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2053
22-PFP-086,22-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2056
22-OCI-085,07-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2042
22-PCI-083,08-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2041
22-PCD-079,08-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2045
22-OFP-078,04-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2034
22-OCI-077,08-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2039
22-OVI-073,07-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2038
22-PFP-071,06-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2037
22-OCI-070,30-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2028
22-OFP-068,05-Jul-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2031
22-OVI-066,28-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2022
22-OFP-065,30-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2025
22-OCI-064,30-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2026
22-PCI-061,28-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2021
22-OFD-059,28-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2023
22-OCI-058,24-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2018
22-OFD-057,21-Sep-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2131
22-OCD-056,23-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2015
22-OCI-054,20-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2009
22-PFP-053,20-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2010
22-OCI-051,17-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2007
22-OCI-048,15-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2004
22-OCI-044,14-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1999
22-OCI-042,09-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1991
22-TCI-041,10-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1994
22-OCI-040,10-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1995
22-OCI-039,10-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1992
22-OCI-038,09-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1990
22-PCI-034,03-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1984
22-OVI-033,03-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1983
22-PCI-031,03-Jun-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1985
22-OCI-029,31-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1977
22-TCI-028,31-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1978
22-OFI-027,30-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1973
22-OVD-026,26-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1969
22-OCI-025,27-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1964
22-TCI-023,29-Aug-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2108
22-PVI-021,20-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1959
22-OFD-020,30-Dec-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=2255
22-PCD-018,20-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1961
22-TCI-017,20-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1958
22-PFP-016,19-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1956
22-OCI-014,18-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1953
22-TCI-013,18-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1952
22-TCI-011,17-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1949
22-OCI-008,13-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1947
22-OVI-007,13-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1946
22-OCD-006,05-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1938
22-OCI-005,10-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1942
22-PCD-004,06-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1940
22-OCI-002,05-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1939
22-PFP-001,03-May-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1936
21-OVI-430,27-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1932
21-TFP-429,27-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1931
21-OCI-428,19-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1920
21-OVI-427,26-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1930
21-OCI-426,26-Apr-22,Read Full Text,https://www.siu.on.ca/en/directors_report_details.php?drid=1928
