Year,Police Service,City,Province,Investigation Final Decision
2018,Hamilton Police Service,Hamilton,Ontario,"There are no reasonable grounds in my view to believe that the SO committed a criminal offence in connection with the Complainant’s fall and subsequent death. I am satisfied on the record that the officers, including the SO, acted reasonably in their attempts to bring the situation involving the Complainant to a safe resolution. Their efforts at communicating with the Complainant throughout the engagement, though falling on deaf ears, were at all times professional and clearly aimed at de-escalation. While focusing on the Complainant, the SO and the other officers also had their minds set on the safety of the public around them. They cordoned off an area around the homes to ensure emergency responders had unimpeded access to the scene, warned the Complainant to steer clear of electrical wires overhead, directed onlookers to return to their homes so as not to further agitate the Complainant, and called for the added expertise of police negotiators. Regrettably, the plan put in place for the negotiators was frustrated when they were unable to establish a clear line of communication with the Complainant from the second floor of residence #3 shortly before he fell to the ground. In these circumstances, it is apparent that the SO exercised a level of care throughout the hour or so he was on scene that fell well within the limits prescribed by the criminal law, notwithstanding the Complainant’s fall and eventual death. Consequently, this file is closed as there are no reasonable grounds for proceeding with criminal charges in this case."
2017,Greater Sudbury Police Service,Greater Sudbury,Ontario,"In conclusion, on this record, I find that the evidence does not provide me with the necessary grounds for the laying of criminal charges, and none shall issue."
2017,Ontario Provincial Police,Clarington,Ontario,"In sum, I am reluctant to attribute the Complainant’s injury to the SO’s actions. Assuming the SO caused the injury, there is insufficient evidence that the SO used excessive force or was negligent in his use of handcuffs. Accordingly, I have no reasonable grounds to believe that the SO committed any criminal offence in connection the injury and the case will be closed."
2017,Peel Regional Police,Brampton,Ontario,"In conclusion, on this evidentiary record, I find that I do not have reasonable grounds to believe that any police officer present during the incident resorted to an excessive use of force in attempting to restrain the Complainant, nor that any police officer was responsible for the injuries sustained by the Complainant. Consequently, there is no basis for the laying of criminal charges and none shall issue."
2017,Hamilton Police Service,Hamilton,Ontario,"In the final analysis, given the mitigating circumstances associated with the SO’s singular indiscretion, if it be such, and weighed against the professionalism with which the officer otherwise approached his task, I am satisfied on balance that the SO exercised a level of care in his dealings with the Complainant that fell well within the limits prescribed by the criminal law. Consequently, there are no reasonable grounds to believe the SO committed a criminal offence in connection with the Complainant’s tragic death and this file is closed."
2017,Hamilton Police Service,Hamilton,Ontario,"In sum, I do not believe that the SO exceeded the level of force permitted by law and therefore am unable to form grounds to believe he committed an offence. This file is therefore closed."
2017,,Ajax,Ontario,"On balance, I am satisfied on this record that the SO comported himself within the limits of care prescribed by the criminal law. While the officer’s speed may legitimately attract scrutiny, it was not such as to render his driving in and around the time of the collision a marked departure from the standard a reasonable person would have exercised in the circumstances. For these reasons, there are no reasonable grounds in my view for proceeding with charges in this case, and the file is closed."
2018,Toronto Police Service,Simcoe,Ontario,"That, however, does not end the matter. The question remains whether the actions of the SO rose to the level required to make out the offence of criminal negligence causing bodily harm, contrary to s. 221 of the Criminal Code. As an offence of penal negligence, it is predicated in part on conduct that amounts to a marked departure from the level of care that a reasonable person would have exercised in the circumstances. There are, in my view, reasonable grounds to believe that the SO, immediately prior to the collision between his car door and the bicycle and person of the Complainant, did not take the necessary precautions when he opened his door into bicycle traffic and thereby caused the injuries to the Complainant. Had the officer done so, I am satisfied that he would have seen the Complainant and waited for the cyclist to clear before opening his car door. On the other hand, there is evidence to suggest that the SO was in fact mindful of cyclists in the bicycle lane in the seconds preceding the collision with the Complainant and his bicycle. From the moment the officer pulled up in his cruiser behind CW #4’s vehicle, he had seen and allowed two cyclists to pass him before nudging his driver’s side door slightly ajar while waiting for a third cyclist to go by. In the final analysis, while the SO was clearly to blame for causing the accident and may well be liable for committing an offence under s. 165 of the HTA, his indiscretion amounted in essence to a momentary lack of attention and fell short of constituting a marked departure from a reasonable level of care in the circumstances. Consequently, I am satisfied that there is no basis for proceeding with criminal charges against the subject officer in this case, and the file is closed."
2017,Ontario Provincial Police,Belleville,Ontario,"That said, I am satisfied that the SO’s indiscretion as regards his speed is not such as to render his conduct a marked departure from a reasonable level of care. To reiterate, but for the SO’s speed in and around the scene of the accident, there is nothing to suggest that his driving was anything other than safe and reasonable. And though the roads were wet on the night of the incident, it also bears noting that they were in good repair, visibility was decent given the artificial lighting in the area and vehicular traffic was light, factors which in my view temper if not excuse the SO’s speed. In the final analysis, while the officer’s driving was not perfect, I am satisfied on reasonable grounds that it fell well within the limits of care prescribed by the criminal law and that there is therefore no basis for proceeding with criminal charges in this case."
2017,Windsor Police Service,Windsor,Ontario,"As such, although I find that the Complainant’s injury was likely caused by the police officers going to the ground with him, and the Complainant landing on his outstretched hand, I find that pursuant to section 25(1) of the Criminal Code, the officers involved used no more force than was reasonably necessary in the execution of their lawful duties, and I am therefore satisfied on reasonable grounds on this record that their actions fell within the limits prescribed by the criminal law and there are thus no grounds to believe they committed a criminal offence and no charges will issue."
2017,Niagara Regional Police Service,,Ontario,"In reviewing the evidence in its entirety, I accept that the SO responded to the situation in full compliance with the Ontario Police Services Act provisions regarding suspect apprehension pursuits and that he behaved at all times professionally, prudently, and with good common sense. As such, I find that there is absolutely no basis here for the laying of criminal charges and none shall issue."
2017,Toronto Police Service,Toronto,Ontario,"In conclusion, on the reliable evidence before me, I can only say with certainty that at some point the Complainant was injured, but I am unable to find that there is sufficient evidence to establish exactly how, when, or by whom, the Complainant was injured, and I therefore do not have sufficient reliable evidence upon which I can find, on reasonable grounds, that an offence of assault bodily harm has been committed by any police officer involved in the apprehension and arrest of the Complainant and therefore do not have the grounds necessary for the laying of criminal charges and none shall issue."
2017,Ontario Provincial Police,Renfrew,Ontario,Original signed by
2017,Toronto Police Service,Toronto,Ontario,"On these facts, I cannot find that the SO resorted to an excessive use of force nor that I have reasonable grounds to believe that his actions amounted to a criminal offence and no charges shall issue."
2017,Belleville Police Service,Belleville,Ontario,"The only charge to be considered in these circumstances would be one of criminal negligence causing bodily harm contrary to s. 221 of the Criminal Code. A person is criminally negligent when he or she shows wanton or reckless disregard for the lives and safety of other persons in doing something or omitting to do anything he or she has a duty to do. The Court of Appeal for Ontario further clarified in R. v. Sharp (1984), 12 C.C.C. (3d) 428 (Ont. C.A.) that criminal negligence requires a marked and substantial departure from the standard of care of a reasonable person in the circumstances of the accused. In this case, there is no evidence that the SO’s decision to call out to the Complainant amounted to a “marked and substantial” departure from the standard of a reasonable police officer. Police officers are required to execute arrest warrants and I can find no fault with the SO for calling out to the Complainant in an attempt to execute the arrest. When the SO called out to the Complainant he was in a parking lot by a pedestrian bridge on the east side of the river and it was in no way foreseeable that the Complainant would be hit by a pickup truck when he rode away from the SO. Furthermore, as the Complainant was already biking and simply decided not to stop for the police, who did not pursue him, I cannot find that there is any causal connection between the actions of the SO and the Complainant’s injuries. For these reasons, I find there are no reasonable grounds to believe the SO committed a criminal offence relating to this incident and the case will be closed."
2017,Toronto Police Service,Laird,Ontario,"In conclusion, there is no basis upon which I can find reasonable grounds to believe that the SO, or any police officer involved in the attempted vehicle stop of the Equinox SUV, drove in a dangerous manner and there is no evidence to support a causal connection between the injury sustained by the front passenger of the Equinox and the actions of police. Consequently, there is no evidence upon which I am able to find that any criminal offence was committed by any police officer in these circumstances, and no charges shall issue."
2017,Greater Sudbury Police Service,,Ontario,"On the record before me, I can find no evidence that the actions of any of the three responding police officers amounted to an excessive use of force or that there is any evidence upon which I could be satisfied that their actions fell outside of the limits of the criminal law and no charges will issue."
2017,Guelph Police Service,Guelph,Ontario,"which he sustained. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and that there are no grounds for proceeding with charges in this case."
2017,Halton Regional Police Service,Burlington,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention, and the manner in which it was carried out, were lawful notwithstanding the injury which she sustained. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Toronto Police Service,Toronto,Ontario,"As such, I am not only satisfied on reasonable grounds on this record that the actions exercised by the SO fell within the limits prescribed by the criminal law and that there are no grounds for proceeding with criminal charges in this case, but it is my view that there was no other option available to the SO than to discharge his firearm, and that his actions in all likelihood saved CW #8 from even more serious injuries, if not death."
2017,Greater Sudbury Police Service,Greater Sudbury,Ontario,"As such, the police officers, who responded to this crisis as quickly as they were able, cannot be held responsible for the Complainant’s actions in fulfilling his intention to end his own life. On these facts, there are no reasonable grounds here for the laying of criminal charges and none will issue."
2017,Ottawa Police Service,,Ontario,"In sum, I am satisfied that the discharge of the subject officers’ firearms at Complainant #1 was justified under both ss. 25 and 34 of the Criminal Code. Accordingly, I do not have reasonable grounds to believe that SO #1 or SO #2 committed a criminal offence in connection with the complainants’ injuries and no charges will issue."
2017,Ontario Provincial Police,,Ontario,"As there is no evidence that the SO’s driving was objectively dangerous, amounted to a marked departure from the standard of a reasonable police officer, or contributed to the Complainant’s injuries, I am satisfied that there are no reasonable grounds to believe the SO committed an offence. No charges will issue and the case will be closed."
2017,Peel Regional Police,,Ontario,"In conclusion, I have no reasonable grounds to believe the subject officer or any PRP officer committed a criminal offence with respect to the Complainant’s apprehension. While there is some evidence that the Complainant’s wrist was injured when he was apprehended, the PRP officers did not use unreasonable force, applied the handcuffs in the lawful execution of their duties, and were not negligent in doing so. As such, no charges will issue and this case will be closed."
2017,Windsor Police Service,Amherstburg,Ontario,"In the final analysis, I am satisfied there is no evidence to indicate that the witness officers bore any criminal responsibility for the Complainant’s decision to end his life. Nothing from the investigation suggested that the involved officers were anything less than professional and cautious in what was inherently a tense situation. Accordingly, there are no reasonable grounds to believe that an offence has been committed and no charges will issue."
2017,Ontario Provincial Police,Rideau Lakes,Ontario,"As such, I find that there is no evidence upon which I can form reasonable grounds to believe that a criminal offence has been committed by any of the police officers in their efforts to stop the Complainant, and therefore there is no basis for the laying of criminal charges."
2017,Peel Regional Police,Mississauga,Ontario,"I find, therefore, on this record, that the shot that was fired and which struck and killed the Complainant was justified pursuant to s. 25(1) and (3) of the Criminal Code and that the SO, in preserving himself, or others, from threat of the infliction of grievous bodily harm or death at the hands of the Complainant, used no more force than was necessary to affect his lawful purpose. As such, I lack the reasonable grounds to believe that the actions exercised by the SO fell outside the limits prescribed by the criminal law and instead find that there are no grounds for proceeding with criminal charges in this case."
2017,Ontario Provincial Police,Brant,Ontario,"On all of the evidence, I find I have reasonable grounds to believe the Complainant’s original statement that he was treated well by police and that all of his injuries were self-inflicted and as a direct consequence of his jumping from the roof of the Tim Hortons building and landing on both heels and his outstretched left wrist, some 30 feet below, on concrete. I have no basis upon which I can form reasonable grounds to believe that any police officer used any force, much less any excessive force, against the Complainant and as such there is no basis here for the laying of criminal charges."
2017,Toronto Police Service,Toronto,Ontario,"On this evidence, there is absolutely no basis upon which I can form reasonable grounds to believe that the Complainant was in any way mistreated by police, and there is no basis for believing that he sustained his injuries at the hands of police. As such, there is no basis for the laying of any criminal charges and none shall issue."
2017,Woodstock Police Service,Elgin,Ontario,"In conclusion, it is clear on all of the evidence that there was no criminal wrongdoing on the part of the SO in notifying the Complainant of his pending charges and, on this record, the evidence does not satisfy me on reasonable grounds that any criminal offence was committed and thus no charges will issue."
2017,,Espanola,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he sustained. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,,,Ontario,"Before closing the file, I note that the comments made by WO #4 on the ICCS after the incident were unprofessional. WO #4 joked that the officers “tuned” the Complainant and that there were “fists flying”; however, I am satisfied these comments were made by WO #4 as an attempt to cope with a stressful situation and do not accord with what actually occurred (or what was observed and reported even by the complainant) and as such, in all the circumstances, for the foregoing reasons I have no reasonable grounds to believe that a criminal offence occurred and no charges will issue."
2017,Sault Ste. Marie Police Service,Sault Ste. Marie,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the arrest of the Complainant, and the manner in which it was carried out, were lawful notwithstanding the injury which he suffered. I am, therefore satisfied on reasonable grounds that the actions of the SO fell within the limits prescribed by the criminal law. Accordingly, with respect to the subject officer, I can find no grounds for proceeding with criminal charges in this case."
2017,,Durham,Ontario,"The aggravating factor of operating a motor vehicle with an excess of alcohol that registered twice the legal limit at which one can legally operate a motor vehicle resulted not only in a potentially fatal motor vehicle collision, but appears to have contributed to the Complainant’s persisting resistance, aggressiveness, and use of obscenities directed at the DRPS and OPP officers. I am, therefore, satisfied on reasonable grounds that the actions of the SO, and all the other police officers involved in the Complainant’s apprehension and arrest, fell within the limits prescribed by the criminal law. Accordingly, I can find no grounds for proceeding with criminal charges in this case and none will issue."
2017,Toronto Police Service,Toronto,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the pursuit and apprehension of the Complainant, and the manner in which they were carried out, were lawful notwithstanding the injuries which he suffered. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Ontario Provincial Police,Northumberland,Ontario,I am therefore satisfied on reasonable grounds on this record that the actions exercised by both police officers fell within the limits prescribed by the criminal law and that there are no grounds for proceeding with charges in this case.
2017,Ontario Provincial Police,Caledon,Ontario,"On this record, I find that the evidence of the SO’s driving does not rise to the level of driving required to constitute ‘a marked departure from the norm’ and, as indicated earlier, there is no evidence of a causal connection between the actions of the SO and the motor vehicle collision in which the Complainant was injured. In fact, in reviewing the evidence in its entirety, it is clear that not only did the SO respond to the situation in full compliance with the Criminal Code, the Highway Traffic Act and the Ontario Police Services Act, but he behaved at all times professionally, prudently and with good common sense. In conclusion, I find that the evidence before me does not satisfy me that I have reasonable grounds to believe that a criminal offence has been committed here by the SO and, as such, I find that there is no basis for the laying of criminal charges and none shall issue."
2017,Peel Regional Police,Toronto,Ontario,"In the alternative, were I to reject the evidence of the three police officers involved in favour of the evidence of the Complainant, the evidence would be lacking in that it failed to identify who the officer was who actually assaulted the Complainant as alleged, and I would still lack the grounds necessary to believe that any one of these three police officers committed the alleged excessive use of force as against the Complainant and would still be without the grounds necessary to lay charges."
2017,Waterloo Regional Police Service,Kitchener,Ontario,"On this record, not only is there no evidence to satisfy me that any police officer involved with the Complainant committed any criminal offence, but I find that on all of the evidence both WO #1 and the SO provided the Complainant with the best of care available to them, when all other resources proved to be unavailable. As such, I find that there is no basis here for the laying of criminal charges and none shall issue."
2017,Sarnia Police Service,,Ontario,"In conclusion, I accept that the SO was justified in resorting to the amount of force which he did in order to repel the attack by the Complainant and find that the evidence does not satisfy me that I have reasonable grounds to believe a criminal offence was perpetrated by the SO and therefore no charges shall issue."
2017,,,Ontario,"It is notable that at no time were any allegations made against these officers by anyone with respect to any inappropriate actions on their part, and I am satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
,,Petrolia,Ontario,
2017,Windsor Police Service,Windsor,Ontario,"In conclusion, I am satisfied for the foregoing reasons that the arrest of the Complainant, and the manner in which it was carried out, were lawful notwithstanding the injury which the Complainant suffered. The injuries sustained by the Complainant occurred as a direct result of his own non-compliance with the commands of the SO – who was acting under the authority of CW #2 - and the active struggle to resist arrest including the dangerous act by CW #3 of attempting to grab WO #1’s CEW (or at the very least attempting to knock the CEW out of his hand). In this respect, both the Complainant and CW #3 were the authors of their own misfortune, which resulted from the Complainant’s refusal to leave the school when legally and properly directed to do so. I am, therefore satisfied on reasonable grounds that the actions of the SO fell within the limits prescribed by the criminal law. Accordingly, with respect to the SO, I can find no grounds for proceeding with criminal charges in this case."
2017,Toronto Police Service,Toronto,Ontario,"If, however, the SO did cause the injury, I find that his single punch, which was delivered in response to an aggressive act by the Complainant toward the SO, did not amount to an excessive use of force and does not provide me with reasonable grounds to believe that the SO’s action rose to the level of a criminal act and no charges will therefore issue."
2017,Peel Regional Police,Mississauga,Ontario,"Furthermore, it is clear from the video that the actions of the SO were measured and in direct proportion to the Complainant’s resistance. The fact that the Complainant, when he suddenly stopped resisting, was flung forward with great momentum, is simply the result of the laws of physics and I do not attribute any intent on the part of the SO to injure the Complainant, which was simply an unfortunate consequence of the combined actions of the SO and the Complainant."
2017,Thunder Bay Police Service,Thunder Bay,Ontario,"On all of the evidence, it appears that the tragic death of the Complainant was as a result of his lifestyle and possibly other genetic or medical factors which were unknown to police and paramedics and there is no causal connection between the actions or inaction of any police officer or the SO and the death of the Complainant. On this record, I can find no basis for the laying of criminal charges and none shall issue."
2017,,,Ontario,"Based on the record, I am unable to form reasonable grounds for a finding of excessive force by the SO. The evidence provides uncertainty as to the timing and mechanism of the injury to the Complainant’s forehead and his concussion. Additionally, the weaknesses in the Complainant’s recollection and the SO and WO #2’s denial of the assault leave me with uncertainty about what actually transpired. I am therefore unable to conclude that the SO bears any criminal liability for her actions during her encounter with the Complainant. As such, no charges will be laid and this case will be closed."
2017,,,Ontario,"As such, in the final analysis, given that the nature of the fall and striking of the head against the ground was unintentional, no charges will issue."
2017,Hamilton Police Service,,Ontario,"In conclusion, I am not satisfied on this record that the force used to arrest the Complainant fell outside the prescribed limits of the criminal law. Accordingly, I am unable to form reasonable grounds to believe that SO #1, SO #2 and SO #3 committed a criminal offence in relation to their interactions with the Complainant on February 17, 2016. As a result, no charges will issue and this case will be closed."
2017,Niagara Regional Police Service,,Ontario,"In conclusion, having reviewed all of the evidence and the jurisprudence in this area, I am satisfied for the foregoing reasons that the Complainant’s apprehension and the manner in which it was carried out were lawful, notwithstanding the injury which he suffered. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,South Simcoe Police Service,Barrie,Ontario,"On these facts, I find that I lack the reasonable grounds to believe that either officer resorted to an excessive use of force in apprehending and subduing the Complainant or that either officer committed a criminal offence here and no charges will issue."
2017,Peel Regional Police,,Ontario,"On all of the evidence, I accept that the two police officers present were carrying out their duties in assisting medical and security staff to ensure the safety of the Complainant and those around him, and that the injury sustained by him can only be described as an unforeseeable and unexpected anomaly."
2017,Toronto Police Service,Toronto,Ontario,"In fact, in reviewing the evidence in its entirety, it is clear that not only did the SO respond to the situation in full compliance with the Criminal Code, the HTA, the TPS Suspect Apprehension Pursuit policy and the OPSA, but he behaved at all times professionally, prudently and with good common sense. I cannot find any criticism of the SO’s actions and, as such, find that there is absolutely no basis here for the laying of criminal charges."
2017,Windsor Police Service,Windsor,Ontario,"Had the Complainant simply come forward and given himself up, there would have been no need to deploy the PSD. I can only infer from the Complainant’s comments that he was aware that he was wanted by police that he hid from police for that reason. The Complainant rolled the dice and lost. These were decisions made by him and him alone, with the full knowledge and numerous warnings that the dog would be dispatched if the Complainant did not comply. On the evidence before me, I find that I do not have reasonable grounds to believe that the SO resorted to an excessive use of force in deploying his PSD and therefore do not have reasonable grounds to believe that he committed any criminal offence and no charges will issue."
2017,,Brampton,Ontario,"In conclusion, I find on the reliable evidence before me, that there is no evidence that any excessive use of force was resorted to by any police officer in apprehending and arresting the Complainant and that the force used was both reasonable and proportionate. As such, I find that these facts do not leave me with reasonable grounds to believe that a criminal offence occurred here and no charges will issue."
2017,,Chatham-Kent,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention, and the manner in which it was carried out, were lawful notwithstanding the injury which he sustained and am therefore satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case and none will issue."
2017,Toronto Police Service,,Ontario,"On these facts, I accept that police were involved in a fast moving situation where there was a potential threat up to, and until, all occupants of the apartment were subdued and I find that the single punch from the SO, which he used only after the Complainant had grabbed onto his leg and refused to release him, and while the Complainant was refusing to comply with police commands to get down onto the floorfootnote 2[2] and to put his hands behind his back, does not satisfy me on reasonable grounds that the officer acted outside of the limits of the criminal law, nor do I find that the evidence is such as to satisfy me on reasonable grounds that the SO committed a criminal offence and no charges will issue."
2017,Hamilton Police Service,Hamilton,Ontario,"In conclusion, on the basis of the reliable evidence on this record, I do not have reasonable grounds to believe that any police officer, in his or her interaction with the Complainant, ever resorted to an excessive use of force and there is no basis for the laying of criminal charges and none will issue."
2017,Hanover Police Service,Hanover,Ontario,"As such, while I am hopeful that the concerns expressed will be adequately addressed within the HPS in order that an incident such as this will not recur, I am unable to find that I have reasonable grounds to cause a charge of dangerous driving to be laid in this instance, and none shall issue."
2017,Toronto Police Service,Toronto,Ontario,"In the final analysis, I am satisfied for the foregoing reasons that the Complainant’s detention and the manner in which it was carried out were lawful notwithstanding the injury which he suffered. I fully accept that the Complainant’s injuries primarily came about as a result of efforts by police to overcome his assaultive and resistant behaviour, and as soon as the Complainant ceased in these efforts, no further force was employed against him by any police officer. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the SO fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,London Police Service,London,Ontario,"Ultimately, while I find that the serious injury to the Complainant, if there was one, as the assessment was not entirely definitive, was caused by a blow by the SO to the Complainant’s head after the Complainant had assaulted the SO, and the Complainant was now in possession of a potential weapon with which he could inflict further injury against the police officers, I cannot find that the evidence is such as to satisfy me that I have reasonable grounds to believe that the SO’s actions were excessive and/or unjustified in these circumstances. I accept that the SO reacted quickly to what he perceived to be a dangerous situation and acted to bring the Complainant under control as quickly as possible and thereby ensure the safety of himself and his fellow officers. As such, I am satisfied on reasonable grounds that the actions resorted to by the SO, although not perfect, fell within the limits prescribed by the criminal law and that there are no grounds to believe that he committed a criminal offence and no charges will issue."
2017,York Regional Police,,Ontario,"While an unsatisfactory result, I must find that on the five contradictory versions of the five only witnesses to the interaction between the Complainant and police, I am unable to find that any version is able to satisfy me on reasonable grounds as to what occurred here, the only fact not in issue being that the Complainant suffered fractures to his nasal bone and nasal spine. While there is no question that had the SO struck the Complainant in the face with the butt of his firearm, after the Complainant was already on the ground and handcuffed, or even before he was handcuffed, that act would normally amount to an excessive use of force and the basis for the laying of criminal charges; however, in the absence of some conclusive evidence, in either direction, I am unable make any findings of fact and find that the evidence is not sufficient to satisfy me that there are reasonable grounds here for the laying of criminal charges."
2017,Kingston Police,King,Ontario,"On all of the evidence, I find that there are no reasonable grounds to believe that the SO committed any criminal offence here and no charges will issue."
2017,South Simcoe Police Service,Innisfil,Ontario,"On all of the evidence, I find that both of the Complainants were very obstructive and confrontational, both with the police officers attempting to carry out their investigation and the CWs, and that the officers showed extreme patience throughout and only resorted to arresting and taking both the Complainants to the ground as a consequence to their ongoing obstruction and their increasingly assaultive behaviour. I am therefore satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,Ontario Provincial Police,Perth,Ontario,"On a side note, I wish to acknowledge the level headed and professional behaviour of WO #2 who, despite having just witnessed the Complainant ram WO #1’s vehicle, and almost being run down by the Complainant, declined to engage the Complainant in a police pursuit, instead putting the safety of the public ahead of his desire to apprehend the Complainant. WO #2’s comments that since they had identified the Complainant as the driver they would be able to get him another day, was in full compliance with Ontario Regulation 266/10 of the Ontario Police Services Act entitled Suspect Apprehension Pursuits, and exhibited a calm, rational, and professional approach which was extremely admirable in the circumstances."
2017,Ontario Provincial Police,St. Thomas,Ontario,"In the final analysis, there is no evidence upon which I can reasonably find that any police officer resorted to an excessive use of force against the Complainant, nor even that any police officer made any physical contact at all with the Complainant, prior to his fall and subsequent injury, and that therefore there is no causal connection between the actions of the SO, WO #1, or WO #2, and the injury sustained by the Complainant. I am, therefore, satisfied on reasonable grounds on this record that the actions exercised by the officers fell within the limits prescribed by the criminal law and there are no grounds for proceeding with charges in this case."
2017,,,Ontario,"On these facts, it is clear that there is no causation between the actions of police and the serious injuries to the Complainant nor is there any evidence upon which I can form any reasonable grounds to believe that any of the police officers who attended and attempted to dissuade the Complainant from taking his own life committed any criminal offence and therefore no charges will issue."
2017,Ontario Provincial Police,Grey,Ontario,"On these facts, then, I find that I am unable to form reasonable grounds to believe that any police officer exercised an excessive use of force in apprehending the Complainant, and I specifically find that I lack reasonable grounds to believe that the SO’s successful deployment of his CEW, which caused the Complainant to fall to the ground hard, and was the likely cause of his injury/injuries, amounted to an excessive use of force on these facts and no charges will issue."
2017,Waterloo Regional Police Service,,Ontario,"In conclusion, I find that the available reliable evidence does not satisfy me on reasonable grounds that the SO drove dangerously, or that the actions of either of the SO or WO #1 amounted to an excessive use of force despite the injury sustained by the Complainant. As such, I find that there are no reasonable grounds to believe that a criminal offence has been committed and no basis for proceeding with charges in this case."
